Name,Symbol
"""Газпромбанк"" (Акционерное общество)",RU000A101Z74
"""Газпромбанк"" (Акционерное общество)",RU000A102DB2
"""Газпромбанк"" (Акционерное общество)",RU000A102GJ8
"""Газпромбанк"" (Акционерное общество)",RU000A102LU5
"""Газпромбанк"" (Акционерное общество)",RU000A104B46
"""Газпромбанк"" (Акционерное общество)",RU000A105GW4
"""Газпромбанк"" (Акционерное общество)",RU000A1064G3
"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",CBOM
"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",RU000A103FP5
"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",RU000A103GW9
Cian PLC (эмитент депозитарных расписок - The Bank of New York Mellon),CIAN
ETALON GROUP PLC (эмитент депозитарных расписок - RCS Issuer Services S.ar.l.),ETLN
FIX PRICE GROUP PLC (эмитент депозитарных расписок - The Bank of New York Mellon),FIXP
Globaltrans Investment PLC (эмитент депозитарных расписок - Citibank N.A.),GLTR
"HeadHunter Group PLC (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A.)",HHRU
MD MEDICAL GROUP INVESTMENTS PLC (эмитент депозитарных расписок - RCS Issuer Services S.ar.l.),MDMG
O'KEY Group S.A. (эмитент депозитарных расписок - The Bank of New York Mellon),OKEY
Ozon Holdings PLC (эмитент депозитарных расписок - The Bank of New York Mellon),OZON
Polymetal International plc,POLY
Public Limited Liability Company Yandex N.V.,YNDX
QIWI PLC (эмитент депозитарных расписок - The Bank of New York Mellon),QIWI
ROS AGRO PLC (эмитент депозитарных расписок - The Bank of New York Mellon),AGRO
"TCS Group Holding PLC (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A.)",TCSG
UNITED MEDICAL GROUP CY PLC (эмитент депозитарных расписок - RCS Issuer Services S.ar.l.),GEMC
X5 Retail Group N.V. (эмитент депозитарных расписок - The Bank of New York Mellon),FIVE
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",RU000A102S80
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",RU000A1036E6
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",RU000A1037F1
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",RU000A104HY1
Администрация Курской области,RU000A0ZYCD1
Администрация города Красноярска,RU000A1029G6
Администрация муниципального образования город Краснодар,RU000A102KT9
"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",ALRS
"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",RU000A101PG7
"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",RU000A101PF9
"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",RU000A101PD4
"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",RU000A101PB8
"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",RU000A101PC6
"Акционерное общество ""ААА Управление Капиталом""",GPBS
"Акционерное общество ""ААА Управление Капиталом""",GPBM
"Акционерное общество ""ААА Управление Капиталом""",GPBR
"Акционерное общество ""Башкирская содовая компания""",RU000A101UR4
"Акционерное общество ""Всероссийский банк развития регионов""",RU000A1025H2
"Акционерное общество ""ДОМ.РФ""",RU000A0JQAM6
"Акционерное общество ""ДОМ.РФ""",RU000A0JTW83
"Акционерное общество ""ДОМ.РФ""",RU000A0JV4R9
"Акционерное общество ""ДОМ.РФ""",RU000A0ZZ1N0
"Акционерное общество ""ДОМ.РФ""",RU000A0ZZ7C0
"Акционерное общество ""ДОМ.РФ""",RU000A1004W6
"Акционерное общество ""ДОМ.РФ""",RU000A100ET6
"Акционерное общество ""ДОМ.РФ""",RU000A101590
"Акционерное общество ""Западный скоростной диаметр""",RU000A0JRJB8
"Акционерное общество ""Западный скоростной диаметр""",RU000A0JRJL7
"Акционерное общество ""Западный скоростной диаметр""",RU000A0JS4J1
"Акционерное общество ""Западный скоростной диаметр""",RU000A0JS4K9
"Акционерное общество ""Западный скоростной диаметр""",RU000A0JS4L7
"Акционерное общество ""Новая перевозочная компания""",RU000A1004A2
"Акционерное общество ""СГ-транс""",RU000A103YP6
"Акционерное общество ""Управляющая компания ""МКБ Инвестиции""",SUGB
"Акционерное общество ""Управляющая компания ""МКБ Инвестиции""",MKBD
"Акционерное общество ""Управляющая компания ""Первая""",SBMX
"Акционерное общество ""Управляющая компания ""Первая""",SBGB
"Акционерное общество ""Управляющая компания ""Первая""",SBCB
"Акционерное общество ""Управляющая компания ""Первая""",SBRB
"Акционерное общество ""Управляющая компания ""Первая""",SBRI
"Акционерное общество ""Управляющая компания ""Первая""",SBRS
"Акционерное общество ""Управляющая компания ""Первая""",SBPS
"Акционерное общество ""Управляющая компания ""Первая""",SBDS
"Акционерное общество ""Управляющая компания ""Первая""",SBWS
