Symbol,Name,Country,Sector,Industry
CSLRW,Complete Solaria Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KRNLW,Kernel Group Holdings Inc. Warrants,United States,Finance,Blank Checks
NCNCW,noco-noco Inc. Warrant,Singapore,,
FICVW,Frontier Investment Corp Warrants,United States,Finance,Blank Checks
SZZLW,Sizzle Acquisition Corp. Warrant,United States,Finance,Blank Checks
FICVU,Frontier Investment Corp Units,United States,Finance,Blank Checks
SYTAW,Siyata Mobile Inc. Warrant,Canada,Telecommunications,Telecommunications Equipment
PTWOW,Pono Capital Two Inc. Warrants,United States,Finance,Blank Checks
CETXP,Cemtrex Inc. Series 1 Preferred Stock,United States,Technology,Electrical Products
KPLTW,Katapult Holdings Inc. Warrant,United States,Consumer Discretionary,Diversified Commercial Services
SXTPW,60 Degrees Pharmaceuticals Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
SWVLW,Swvl Holdings Corp Warrant,United Arab Emirates,Consumer Discretionary,Business Services
NBSTW,Newbury Street Acquisition Corporation Warrants,United States,Finance,Blank Checks
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,United States,Consumer Discretionary,Consumer Specialties
SVIIR,Spring Valley Acquisition Corp. II Rights,United States,,
SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,United States,,
AUROW,Aurora Innovation Inc. Warrant,United States,Technology,EDP Services
PWUPW,PowerUp Acquisition Corp. Warrant,United States,Finance,Blank Checks
FGIWW,FGI Industries Ltd. Warrant,United States,Industrials,Industrial Specialties
AUUDW,Auddia Inc. Warrants,United States,Technology,Computer Software: Prepackaged Software
AUVIP,Applied UV Inc. 10.5% Series A Cumulative Perpetual Preferred Stock $0.0001 par value per share,United States,Consumer Discretionary,Building Products
SWAGW,Stran & Company Inc. Warrant,United States,Consumer Discretionary,Advertising
FGFPP,FG Financial Group Inc. 8.00% Cumulative Preferred Stock,United States,Finance,Property-Casualty Insurers
CELUW,Celularity Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
SVMHW,SRIVARU Holding Limited Warrant,Cayman Islands,,
FGBIP,First Guaranty Bancshares Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,United States,Finance,Savings Institutions
TALKW,Talkspace Inc. Warrant,United States,Health Care,Medical/Nursing Services
NCPLW,Netcapital Inc. Warrants,United States,Finance,Investment Managers
ATNFW,180 Life Sciences Corp. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CFFSW,CF Acquisition Corp. VII Warrant,United States,Finance,Blank Checks
ATAKW,Aurora Technology Acquisition Corp. Warrants,United States,Finance,Blank Checks
DMAQR,Deep Medicine Acquisition Corp. Rights,United States,,
NEOVW,NeoVolta Inc. Warrant,United States,Miscellaneous,Industrial Machinery/Components
KERNW,Akerna Corp Warrant,United States,Technology,EDP Services
ATCOL,Atlas Corp. 7.125% Notes due 2027,United Kingdom,Basic Materials,Precious Metals
PSNYW,Polestar Automotive Holding UK PLC Class C-1 ADS (ADW),Sweden,Consumer Discretionary,Auto Manufacturing
CGBDL,Carlyle Secured Lending Inc. 8.20% Notes due 2028,United States,,
TCBPW,TC BioPharm (Holdings) plc Warrants,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TCBIO,Texas Capital Bancshares Inc. Depositary Shares 5.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B,United States,Finance,Major Banks
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,United States,Finance,Investment Managers
KITTW,Nauticus Robotics Inc. Warrant,United States,Industrials,Industrial Machinery/Components
TBMCR,Trailblazer Merger Corporation I Rights,United States,Finance,Blank Checks
TBLAW,Taboola.com Ltd. Warrant,Israel,Technology,Computer Software: Programming Data Processing
PTHRU,Pono Capital Three Inc. Unit,United States,Finance,Blank Checks
PTHRW,Pono Capital Three Inc. Warrant,United States,Finance,Blank Checks
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,United States,Finance,Finance: Consumer Services
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,United States,Finance,Finance: Consumer Services
